Fund Name,Region,Risk Level,Management Type,Number of Assets,Ongoing Charge (OCF),May 2019 - Apr 2020,May 2020 - Apr 2021,May 2021 - Apr 2022,May 2022 - Apr 2023,May 2023 - Apr 2024
FTSE U.K. Equity Income Index Fund,UK,6,Index,115,0.14%,-19.89%,22.69%,17.37%,5.17%,7.84%
Germany All Cap UCITS ETF,Europe,6,Index,158,0.10%,-12.42%,38.85%,-10.30%,8.78%,10.23%
Global Aggregate Bond UCITS ETF,Global,3,Index,11428,0.10%,,0.09%,-8.16%,-2.76%,0.57%
Global Bond Index Fund,Global,3,Index,16265,0.15%,6.60%,0.06%,-8.24%,-2.80%,0.54%
Global Corporate Bond Index Fund,Global,4,Index,11817,0.18%,4.71%,4.67%,-9.57%,-2.10%,2.22%
Global Credit Bond Fund,Global,4,Active,1501,0.35%,8.05%,6.86%,-9.05%,-1.40%,2.92%
Global Emerging Markets Fund,Global,6,Active,222,0.78%,-14.80%,49.03%,-9.91%,-1.34%,11.41%
Global Equity Fund,Global,6,Active,237,0.48%,2.12%,41.27%,-4.99%,3.86%,13.15%
Global Equity Income Fund,Global,5,Active,175,0.48%,-10.30%,26.76%,15.21%,5.25%,11.70%
Global Short-Term Bond Index Fund,Global,3,Index,4927,0.15%,2.62%,1.28%,-4.38%,-0.20%,2.81%
Global Short-Term Corporate Bond Index Fund,Global,3,Index,4442,0.18%,0.94%,4.05%,-5.09%,0.02%,4.21%
Global Small-Cap Index Fund,Global,6,Index,4225,0.29%,-11.93%,51.08%,-3.31%,-1.88%,10.33%
Global Sustainable Equity Fund,Global,5,Active,55,0.48%,,,,8.35%,15.14%
Japan Government Bond Index Fund,Japan,3,Index,380,0.12%,1.70%,-1.01%,-2.03%,1.06%,0.15%
Japan Stock Index Fund,Japan,5,Index,235,0.16%,0.12%,18.80%,-4.65%,4.07%,19.52%
Pacific ex-Japan Stock Index Fund,Asia-Pacific,6,Index,135,0.16%,-13.44%,30.70%,3.31%,-1.68%,1.18%
S&P 500 UCITS ETF,USA,6,Index,506,0.07%,,45.56%,-0.05%,2.35%,22.31%
SRI European Stock Fund,Europe,6,Index,541,0.14%,-9.85%,32.53%,2.49%,11.67%,8.28%
Sterling Short-Term Money Market Fund,UK,1,Active,28,0.12%,,,,,
U.K. Gilt UCITS ETF,UK,5,Index,64,0.07%,17.32%,-8.83%,-9.32%,-17.70%,-2.30%
U.K. Government Bond Index Fund,UK,5,Index,83,0.12%,17.09%,-8.81%,-9.42%,-17.71%,-2.31%
U.K. Inflation-Linked Gilt Index Fund,UK,6,Index,34,0.12%,8.59%,-1.73%,-3.23%,-25.70%,-5.25%
